Time (s),Voltage (V),Current (A)
0.00000000,0.00000000,0.00000000
0.00000002,2.00000000,0.01000000
0.00000004,4.00000000,0.01000000
0.00000006,6.00000000,0.01000000
0.00000008,8.00000000,0.01000000
0.00000010,10.00000000,0.01000000
0.00000012,12.00000000,0.01000000
0.00000014,14.00000000,0.01000000
0.00000016,16.00000000,0.01000000
0.00000018,18.00000000,0.01000000
0.00000020,20.00000000,0.01000000
0.00000022,22.00000000,0.01000000
0.00000024,24.00000000,0.01000000
0.00000026,26.00000000,0.01000000
0.00000028,28.00000000,0.01000000
0.00000030,30.00000000,0.01000000
0.00000032,32.00000000,0.01000000
0.00000034,34.00000000,0.01000000
0.00000036,36.00000000,0.01000000
0.00000038,38.00000000,0.01000000
0.00000040,40.00000000,0.01000000
0.00000042,42.00000000,0.01000000
0.00000044,44.00000000,0.01000000
0.00000046,46.00000000,0.01000000
0.00000048,48.00000000,0.01000000
0.00000050,50.00000000,0.01000000
0.00000052,52.00000000,0.01000000
0.00000054,54.00000000,0.01000000
0.00000056,56.00000000,0.01000000
0.00000058,58.00000000,0.01000000
0.00000060,60.00000000,0.01000000
0.00000062,62.00000000,0.01000000
0.00000064,64.00000000,0.01000000
0.00000066,66.00000000,0.01000000
0.00000068,68.00000000,0.01000000
0.00000070,70.00000000,0.01000000
0.00000072,72.00000000,0.01000000
0.00000074,74.00000000,0.01000000
0.00000076,76.00000000,0.01000000
0.00000078,78.00000000,0.01000000
0.00000080,80.00000000,0.01000000
0.00000082,82.00000000,0.01000000
0.00000084,84.00000000,0.01000000
0.00000086,86.00000000,0.01000000
0.00000088,88.00000000,0.01000000
0.00000090,90.00000000,0.01000000
0.00000092,92.00000000,0.01000000
0.00000094,94.00000000,0.01000000
0.00000096,96.00000000,0.01000000
0.00000098,98.00000000,0.01000000
0.00000100,100.00000000,0.01000000
0.00000102,102.00000000,0.01000000
0.00000104,104.00000000,0.01000000
0.00000106,106.00000000,0.01000000
0.00000108,108.00000000,0.01000000
0.00000110,110.00000000,0.01000000
0.00000112,112.00000000,0.01000000
0.00000114,114.00000000,0.01000000
0.00000116,116.00000000,0.01000000
0.00000118,118.00000000,0.01000000
0.00000120,120.00000000,0.01000000
0.00000122,122.00000000,0.01000000
0.00000124,124.00000000,0.01000000
0.00000126,126.00000000,0.01000000
0.00000128,128.00000000,0.01000000
0.00000130,130.00000000,0.01000000
0.00000132,132.00000000,0.01000000
0.00000134,134.00000000,0.01000000
0.00000136,136.00000000,0.01000000
0.00000138,138.00000000,0.01000000
0.00000140,140.00000000,0.01000000
0.00000142,142.00000000,0.01000000
0.00000144,144.00000000,0.01000000
0.00000146,146.00000000,0.01000000
0.00000148,148.00000000,0.01000000
0.00000150,150.00000000,0.01000000
0.00000152,152.00000000,0.01000000
0.00000154,154.00000000,0.01000000
0.00000156,156.00000000,0.01000000
0.00000158,158.00000000,0.01000000
0.00000160,160.00000000,0.01000000
0.00000162,162.00000000,0.01000000
0.00000164,164.00000000,0.01000000
0.00000166,166.00000000,0.01000000
0.00000168,168.00000000,0.01000000
0.00000170,170.00000000,0.01000000
0.00000172,172.00000000,0.01000000
0.00000174,174.00000000,0.01000000
0.00000176,176.00000000,0.01000000
0.00000178,178.00000000,0.01000000
0.00000180,180.00000000,0.01000000
0.00000182,182.00000000,0.01000000
0.00000184,184.00000000,0.01000000
0.00000186,186.00000000,0.01000000
0.00000188,188.00000000,0.01000000
0.00000190,190.00000000,0.01000000
0.00000192,192.00000000,0.01000000
0.00000194,194.00000000,0.01000000
0.00000196,196.00000000,0.01000000
0.00000198,198.00000000,0.01000000
0.00000200,200.00000000,0.01000000
0.00000202,202.00000000,0.01000000
0.00000204,204.00000000,0.01000000
0.00000206,206.00000000,0.01000000
0.00000208,208.00000000,0.01000000
0.00000210,210.00000000,0.01000000
0.00000212,212.00000000,0.01000000
0.00000214,214.00000000,0.01000000
0.00000216,216.00000000,0.01000000
0.00000218,218.00000000,0.01000000
0.00000220,220.00000000,0.01000000
0.00000222,222.00000000,0.01000000
0.00000224,224.00000000,0.01000000
0.00000226,226.00000000,0.01000000
0.00000228,228.00000000,0.01000000
0.00000230,230.00000000,0.01000000
0.00000232,232.00000000,0.01000000
0.00000234,234.00000000,0.01000000
0.00000236,236.00000000,0.01000000
0.00000238,238.00000000,0.01000000
0.00000240,240.00000000,0.01000000
0.00000242,242.00000000,0.01000000
0.00000244,244.00000000,0.01000000
0.00000246,246.00000000,0.01000000
0.00000248,248.00000000,0.01000000
0.00000250,250.00000000,0.01000000
0.00000252,252.00000000,0.01000000
0.00000254,254.00000000,0.01000000
0.00000256,256.00000000,0.01000000
0.00000258,258.00000000,0.01000000
0.00000260,260.00000000,0.01000000
0.00000262,262.00000000,0.01000000
0.00000264,264.00000000,0.01000000
0.00000266,266.00000000,0.01000000
0.00000268,268.00000000,0.01000000
0.00000270,270.00000000,0.01000000
0.00000272,272.00000000,0.01000000
0.00000274,274.00000000,0.01000000
0.00000276,276.00000000,0.01000000
0.00000278,278.00000000,0.01000000
0.00000280,280.00000000,0.01000000
0.00000282,282.00000000,0.01000000
0.00000284,284.00000000,0.01000000
0.00000286,286.00000000,0.01000000
0.00000288,288.00000000,0.01000000
0.00000290,290.00000000,0.01000000
0.00000292,292.00000000,0.01000000
0.00000294,294.00000000,0.01000000
0.00000296,296.00000000,0.01000000
0.00000298,298.00000000,0.01000000
0.00000300,300.00000000,0.01000000
0.00000302,302.00000000,0.01000000
0.00000304,304.00000000,0.01000000
0.00000306,306.00000000,0.01000000
0.00000308,308.00000000,0.01000000
0.00000310,310.00000000,0.01000000
0.00000312,312.00000000,0.01000000
0.00000314,314.00000000,0.01000000
0.00000316,316.00000000,0.01000000
0.00000318,318.00000000,0.01000000
0.00000320,320.00000000,0.01000000
0.00000322,322.00000000,0.01000000
0.00000324,324.00000000,0.01000000
0.00000326,326.00000000,0.01000000
0.00000328,328.00000000,0.01000000
0.00000330,330.00000000,0.01000000
0.00000332,332.00000000,0.01000000
0.00000334,334.00000000,0.01000000
0.00000336,336.00000000,0.01000000
0.00000338,338.00000000,0.01000000
0.00000340,340.00000000,0.01000000
0.00000342,342.00000000,0.01000000
0.00000344,344.00000000,0.01000000
0.00000346,346.00000000,0.01000000
0.00000348,348.00000000,0.01000000
0.00000350,350.00000000,0.01000000
0.00000352,352.00000000,0.01000000
0.00000354,354.00000000,0.01000000
0.00000356,356.00000000,0.01000000
0.00000358,358.00000000,0.01000000
0.00000360,360.00000000,0.01000000
0.00000362,362.00000000,0.01000000
0.00000364,364.00000000,0.01000000
0.00000366,366.00000000,0.01000000
0.00000368,368.00000000,0.01000000
0.00000370,370.00000000,0.01000000
0.00000372,372.00000000,0.01000000
0.00000374,374.00000000,0.01000000
0.00000376,376.00000000,0.01000000
0.00000378,378.00000000,0.01000000
0.00000380,380.00000000,0.01000000
0.00000382,382.00000000,0.01000000
0.00000384,384.00000000,0.01000000
0.00000386,386.00000000,0.01000000
0.00000388,388.00000000,0.01000000
0.00000390,390.00000000,0.01000000
0.00000392,392.00000000,0.01000000
0.00000394,394.00000000,0.01000000
0.00000396,396.00000000,0.01000000
0.00000398,398.00000000,0.01000000
0.00000400,400.00000000,0.01000000
0.00000402,402.00000000,0.01000000
0.00000404,404.00000000,0.01000000
0.00000406,406.00000000,0.01000000
0.00000408,408.00000000,0.01000000
0.00000410,410.00000000,0.01000000
0.00000412,412.00000000,0.01000000
0.00000414,414.00000000,0.01000000
0.00000416,416.00000000,0.01000000
0.00000418,418.00000000,0.01000000
0.00000420,420.00000000,0.01000000
0.00000422,422.00000000,0.01000000
0.00000424,424.00000000,0.01000000
0.00000426,426.00000000,0.01000000
0.00000428,428.00000000,0.01000000
