Time (s),Voltage (V),Current (A)
0.00000000,0.00000000,0.01000000
0.00000002,1.81351171,0.00818649
0.00000004,3.29814094,0.00670186
0.00000006,4.51353093,0.00548647
0.00000008,5.50850851,0.00449149
0.00000010,6.32304575,0.00367695
0.00000012,6.98986571,0.00301013
0.00000014,7.53575709,0.00246424
0.00000016,7.98265042,0.00201735
0.00000018,8.34849913,0.00165150
0.00000020,8.64800075,0.00135200
0.00000022,8.89318739,0.00110681
0.00000024,9.09390916,0.00090609
0.00000026,9.25822979,0.00074177
0.00000028,9.39275069,0.00060725
0.00000030,9.50287606,0.00049712
0.00000032,9.59303007,0.00040697
0.00000034,9.66683454,0.00033317
0.00000036,9.72725449,0.00027275
0.00000038,9.77671721,0.00022328
0.00000040,9.81720980,0.00018279
0.00000042,9.85035902,0.00014964
0.00000044,9.87749659,0.00012250
0.00000046,9.89971272,0.00010029
0.00000048,9.91789994,0.00008210
0.00000050,9.93278888,0.00006721
0.00000052,9.94497770,0.00005502
0.00000054,9.95495605,0.00004504
0.00000056,9.96312483,0.00003688
0.00000058,9.96981218,0.00003019
0.00000060,9.97528678,0.00002471
0.00000062,9.97976855,0.00002023
0.00000064,9.98343755,0.00001656
0.00000066,9.98644117,0.00001356
0.00000068,9.98890008,0.00001110
0.00000070,9.99091306,0.00000909
0.00000072,9.99256099,0.00000744
0.00000074,9.99391006,0.00000609
0.00000076,9.99501448,0.00000499
0.00000078,9.99591861,0.00000408
0.00000080,9.99665877,0.00000334
0.00000082,9.99726471,0.00000274
0.00000084,9.99776076,0.00000224
0.00000086,9.99816685,0.00000183
0.00000088,9.99849929,0.00000150
0.00000090,9.99877145,0.00000123
0.00000092,9.99899425,0.00000101
0.00000094,9.99917664,0.00000082
0.00000096,9.99932596,0.00000067
0.00000098,9.99944820,0.00000055
0.00000100,9.99954827,0.00000045
0.00000102,9.99963019,0.00000037
0.00000104,9.99969725,0.00000030
0.00000106,9.99975216,0.00000025
0.00000108,9.99979710,0.00000020
0.00000110,9.99983390,0.00000017
0.00000112,9.99986402,0.00000014
0.00000114,9.99988868,0.00000011
0.00000116,9.99990887,0.00000009
0.00000118,9.99992540,0.00000007
0.00000120,9.99993893,0.00000006
0.00000122,9.99995000,0.00000005
0.00000124,9.99995907,0.00000004
0.00000126,9.99996649,0.00000003
0.00000128,9.99997257,0.00000003
0.00000130,9.99997754,0.00000002
0.00000132,9.99998162,0.00000002
0.00000134,9.99998495,0.00000002
0.00000136,9.99998768,0.00000001
0.00000138,9.99998991,0.00000001
0.00000140,9.99999174,0.00000001
0.00000142,9.99999324,0.00000001
0.00000144,9.99999447,0.00000001
0.00000146,9.99999547,0.00000000
0.00000148,9.99999629,0.00000000
0.00000150,9.99999696,0.00000000
0.00000152,9.99999751,0.00000000
0.00000154,9.99999797,0.00000000
0.00000156,9.99999833,0.00000000
0.00000158,9.99999864,0.00000000
0.00000160,9.99999888,0.00000000
0.00000162,9.99999909,0.00000000
0.00000164,9.99999925,0.00000000
0.00000166,9.99999939,0.00000000
0.00000168,9.99999950,0.00000000
0.00000170,9.99999959,0.00000000
0.00000172,9.99999966,0.00000000
0.00000174,9.99999972,0.00000000
0.00000176,9.99999977,0.00000000
0.00000178,9.99999982,0.00000000
0.00000180,9.99999985,0.00000000
0.00000182,9.99999988,0.00000000
0.00000184,9.99999990,0.00000000
0.00000186,9.99999992,0.00000000
0.00000188,9.99999993,0.00000000
0.00000190,9.99999994,0.00000000
0.00000192,9.99999995,0.00000000
0.00000194,9.99999996,0.00000000
0.00000196,9.99999997,0.00000000
0.00000198,9.99999998,0.00000000
0.00000200,9.99999998,0.00000000
0.00000202,9.99999998,0.00000000
0.00000204,9.99999999,0.00000000
0.00000206,9.99999999,0.00000000
0.00000208,9.99999999,0.00000000
0.00000210,9.99999999,0.00000000
0.00000212,9.99999999,0.00000000
0.00000214,9.99999999,0.00000000
0.00000216,10.00000000,0.00000000
0.00000218,10.00000000,0.00000000
0.00000220,10.00000000,0.00000000
0.00000222,10.00000000,0.00000000
0.00000224,10.00000000,0.00000000
0.00000226,10.00000000,0.00000000
0.00000228,10.00000000,0.00000000
0.00000230,10.00000000,0.00000000
0.00000232,10.00000000,0.00000000
0.00000234,10.00000000,0.00000000
0.00000236,10.00000000,0.00000000
0.00000238,10.00000000,0.00000000
0.00000240,10.00000000,0.00000000
0.00000242,10.00000000,0.00000000
0.00000244,10.00000000,0.00000000
0.00000246,10.00000000,0.00000000
0.00000248,10.00000000,0.00000000
0.00000250,10.00000000,0.00000000
0.00000252,10.00000000,0.00000000
0.00000254,10.00000000,0.00000000
0.00000256,10.00000000,0.00000000
0.00000258,10.00000000,0.00000000
0.00000260,10.00000000,0.00000000
0.00000262,10.00000000,0.00000000
0.00000264,10.00000000,0.00000000
0.00000266,10.00000000,0.00000000
0.00000268,10.00000000,0.00000000
0.00000270,10.00000000,0.00000000
0.00000272,10.00000000,0.00000000
0.00000274,10.00000000,0.00000000
0.00000276,10.00000000,0.00000000
0.00000278,10.00000000,0.00000000
0.00000280,10.00000000,0.00000000
0.00000282,10.00000000,0.00000000
0.00000284,10.00000000,0.00000000
0.00000286,10.00000000,0.00000000
0.00000288,10.00000000,0.00000000
0.00000290,10.00000000,0.00000000
0.00000292,10.00000000,0.00000000
0.00000294,10.00000000,0.00000000
0.00000296,10.00000000,0.00000000
0.00000298,10.00000000,0.00000000
0.00000300,10.00000000,0.00000000
0.00000302,10.00000000,0.00000000
0.00000304,10.00000000,0.00000000
0.00000306,10.00000000,0.00000000
0.00000308,10.00000000,0.00000000
0.00000310,10.00000000,0.00000000
0.00000312,10.00000000,0.00000000
0.00000314,10.00000000,0.00000000
0.00000316,10.00000000,0.00000000
0.00000318,10.00000000,0.00000000
0.00000320,10.00000000,0.00000000
0.00000322,10.00000000,0.00000000
0.00000324,10.00000000,0.00000000
0.00000326,10.00000000,0.00000000
0.00000328,10.00000000,0.00000000
0.00000330,10.00000000,0.00000000
0.00000332,10.00000000,0.00000000
0.00000334,10.00000000,0.00000000
0.00000336,10.00000000,0.00000000
0.00000338,10.00000000,0.00000000
0.00000340,10.00000000,0.00000000
0.00000342,10.00000000,0.00000000
0.00000344,10.00000000,0.00000000
0.00000346,10.00000000,0.00000000
0.00000348,10.00000000,0.00000000
0.00000350,10.00000000,0.00000000
0.00000352,10.00000000,0.00000000
0.00000354,10.00000000,0.00000000
0.00000356,10.00000000,0.00000000
0.00000358,10.00000000,0.00000000
0.00000360,10.00000000,0.00000000
0.00000362,10.00000000,0.00000000
0.00000364,10.00000000,0.00000000
0.00000366,10.00000000,0.00000000
0.00000368,10.00000000,0.00000000
0.00000370,10.00000000,0.00000000
0.00000372,10.00000000,0.00000000
0.00000374,10.00000000,0.00000000
0.00000376,10.00000000,0.00000000
0.00000378,10.00000000,0.00000000
0.00000380,10.00000000,0.00000000
0.00000382,10.00000000,0.00000000
0.00000384,10.00000000,0.00000000
0.00000386,10.00000000,0.00000000
0.00000388,10.00000000,0.00000000
0.00000390,10.00000000,0.00000000
0.00000392,10.00000000,0.00000000
0.00000394,10.00000000,0.00000000
0.00000396,10.00000000,0.00000000
0.00000398,10.00000000,0.00000000
0.00000400,10.00000000,0.00000000
0.00000402,10.00000000,0.00000000
0.00000404,10.00000000,0.00000000
0.00000406,10.00000000,0.00000000
0.00000408,10.00000000,0.00000000
0.00000410,10.00000000,0.00000000
0.00000412,10.00000000,0.00000000
0.00000414,10.00000000,0.00000000
0.00000416,10.00000000,0.00000000
0.00000418,10.00000000,0.00000000
0.00000420,10.00000000,0.00000000
0.00000422,10.00000000,0.00000000
0.00000424,10.00000000,0.00000000
0.00000426,10.00000000,0.00000000
0.00000428,10.00000000,0.00000000
0.00000430,10.00000000,0.00000000
0.00000432,10.00000000,0.00000000
0.00000434,10.00000000,0.00000000
0.00000436,10.00000000,0.00000000
0.00000438,10.00000000,0.00000000
0.00000440,10.00000000,0.00000000
0.00000442,10.00000000,0.00000000
0.00000444,10.00000000,0.00000000
0.00000446,10.00000000,0.00000000
0.00000448,10.00000000,0.00000000
0.00000450,10.00000000,0.00000000
0.00000452,10.00000000,0.00000000
0.00000454,10.00000000,0.00000000
0.00000456,10.00000000,0.00000000
0.00000458,10.00000000,0.00000000
0.00000460,10.00000000,0.00000000
0.00000462,10.00000000,0.00000000
0.00000464,10.00000000,0.00000000
0.00000466,10.00000000,0.00000000
0.00000468,10.00000000,0.00000000
0.00000470,10.00000000,0.00000000
0.00000472,10.00000000,0.00000000
0.00000474,10.00000000,0.00000000
0.00000476,10.00000000,0.00000000
0.00000478,10.00000000,0.00000000
0.00000480,10.00000000,0.00000000
0.00000482,10.00000000,0.00000000
0.00000484,10.00000000,0.00000000
0.00000486,10.00000000,0.00000000
0.00000488,10.00000000,0.00000000
0.00000490,10.00000000,0.00000000
0.00000492,10.00000000,0.00000000
0.00000494,10.00000000,0.00000000
0.00000496,10.00000000,0.00000000
0.00000498,10.00000000,0.00000000
